what,kind,bundleId,bundleVersion,description,time
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413879621093
closed,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413879621093
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413879628250
closed,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413879628265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879634500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879735390
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413879745953
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413879746671
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413879750687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879751109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879760718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879768343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879777937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879793437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879797484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879803671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879825812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413879842046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880012187
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880013875
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880017734
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413880028312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880028328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880029781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880030796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880044937
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413880084921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880085343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880090656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880158937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880169734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880192500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880213500
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880214718
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413880216328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880216796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880228968
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413880228984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880233828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880233828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880233921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880276890
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880279078
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880281078
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413880284968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880285406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880291875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880293453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880298453
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880299703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880299703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880299843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880300968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880301000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880301906
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413880303187
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880307312
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880307359
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880316125
closed,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880316125
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413880317890
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880321609
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880321656
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413880324734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880325031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880327562
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880330156
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880330984
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880334078
closed,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413880335484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880347656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413880350671
