what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1413017136499
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1413017136515
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1413017136562
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,3.0.0.I20121013-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1413017136562
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1413017136609
os,sysinfo,,,"win32",1413017136609
arch,sysinfo,,,"x86",1413017136609
ws,sysinfo,,,"win32",1413017136609
locale,sysinfo,,,"en_US",1413017136609
processors,sysinfo,,,"2",1413017136609
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413017136609
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1413017136609
java.specification.name,sysinfo,,,"Java Platform API Specification",1413017136609
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1413017136609
java.specification.version,sysinfo,,,"1.6",1413017136609
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1413017136609
java.version,sysinfo,,,"1.6.0_16",1413017136609
java.vm.info,sysinfo,,,"mixed mode",1413017136609
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1413017136609
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413017136609
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1413017136609
java.vm.specification.version,sysinfo,,,"1.0",1413017136609
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1413017136609
java.vm.version,sysinfo,,,"14.2-b01",1413017136609
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1413017136718
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1413017136734
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1413017137109
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1413017137562
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1413017137781
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1413017141890
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.AllMarkersView",1413017153297
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.AllMarkersView",1413017153375
