what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1413866393953
os,sysinfo,,,"win32",1413866393953
arch,sysinfo,,,"x86",1413866393953
ws,sysinfo,,,"win32",1413866393953
locale,sysinfo,,,"en_US",1413866393953
processors,sysinfo,,,"2",1413866393953
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413866393953
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1413866393953
java.specification.name,sysinfo,,,"Java Platform API Specification",1413866393953
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1413866393953
java.specification.version,sysinfo,,,"1.6",1413866393953
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1413866393953
java.version,sysinfo,,,"1.6.0_16",1413866393953
java.vm.info,sysinfo,,,"mixed mode",1413866393953
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1413866393953
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413866393953
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1413866393953
java.vm.specification.version,sysinfo,,,"1.0",1413866393953
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1413866393953
java.vm.version,sysinfo,,,"14.2-b01",1413866393953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413866393968
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1413866394187
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1413866394828
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1413866394843
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1413866395906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413866402015
