what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413873675500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873675546
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413873675609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873708343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873708343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873708437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873709625
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413873713000
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.smartEnter",1413873735140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413873744015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413873747265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873749656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873752312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873753859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873760468
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413873760500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1413873770625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873772000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873772000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873772093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873861796
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413873863843
closed,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413873863859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413873873906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873877015
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413873885265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413873885312
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413873885343
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413873893156
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413873900593
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413873928968
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1413873942187
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413873942218
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413873949000
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413873984437
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874015203
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413874017500
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874020859
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413874022015
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874025859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413874028890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874073062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874073078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874073171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874078984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874080031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874086375
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874096656
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874112781
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874127250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413874167781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413874171421
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874177343
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874193125
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874196109
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1413874200000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413874225406
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874245703
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874252781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413874255171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413874269171
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874272546
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874282078
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413874283890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874284328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874294968
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413874294984
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413874301625
closed,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413874301640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874399468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874401390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874403968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874473281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874473500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874477468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874516359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874549109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874587312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874591968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874594796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874603640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874612109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874615453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874618421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874626906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874647171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874673421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874685437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874692468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874704687
error,log,,,"Unhandled event loop exception",1413874704687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874706109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874718703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874758468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874758468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874758578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874874203
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413874887250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874887281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874889109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874890109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874893484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874897203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874913812
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413874916953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874916968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874918765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874919625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874923015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874926281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874986531
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413874989718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874989734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874991343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874992296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413874996796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875002890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875012546
error,log,,,"Unhandled event loop exception",1413875056937
error,log,,,"Unhandled event loop exception",1413875057390
error,log,,,"Unhandled event loop exception",1413875057406
error,log,,,"Unhandled event loop exception",1413875059125
error,log,,,"Unhandled event loop exception",1413875060484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875063406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875064171
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1413875071625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875071625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875071656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875075046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875075078
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413875077203
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413875111796
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413875117156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875154906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875154906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875155234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875285359
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413875300031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875309250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875328046
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1413875328062
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413875328125
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413875328156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875348062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875378312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875382656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875396328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875404093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413875422140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413875431093
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413875469546
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413875500796
