what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1413346081843
java.version,sysinfo,,,"1.6.0_16",1413346081843
java.vm.info,sysinfo,,,"mixed mode",1413346081843
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1413346081843
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413346081843
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1413346081843
java.vm.specification.version,sysinfo,,,"1.0",1413346081843
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1413346081843
java.vm.version,sysinfo,,,"14.2-b01",1413346081843
started,bundle,org.eclipse.team.svn.ui,1.0.0.I20120601-1700,"org.eclipse.team.svn.ui",1413346081859
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1413346081875
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,3.0.0.I20121013-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1413346082015
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1413346082031
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1413346082140
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1413346082515
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1413346082515
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1413346082578
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1413346082765
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1413346082828
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1413346083312
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1413346083468
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1413346087734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413346849625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413347009078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413347009140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413347014750
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1413347014906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413347034000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413347034000
