what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869280671
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869300687
error,log,,,"Internal Error",1413869326531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869338093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869338093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869338156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869381203
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413869418250
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413869418390
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413869419234
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413869421750
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413869421796
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413869429125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869502609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869509281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869509718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869509718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869510312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869510656
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413869518125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869531671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869531687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869532031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869539812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413869542203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869650578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869659062
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869665031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413869672140
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869682406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869692281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869719437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869730687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413869734500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413869739578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869749156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869749156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869749484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869752531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869754796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869758015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869761218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869763312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869789859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413869793000
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413869808515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869808937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869818828
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413869829218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869829625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869840890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869848046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869854984
activated,view,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui.views.tasks",1413869875484
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413869875515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869889234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869889875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413869893406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869897125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869897125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869898062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869898421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869905265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869905265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869905953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869906312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869906546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869906546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869906890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869910156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869913625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869914765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869916656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869916671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869917406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413869918296
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869953750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869978671
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413869981515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413870008078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413870008171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413870026484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413870032453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413870034437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413870046500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413870065812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413870106703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413870106703
