what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607602703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607602750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607602796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607602843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607602890
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607602937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607602984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607603031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607603078
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607603750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604296
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604343
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604531
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604671
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604718
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607604906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607605000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607605046
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1413607605093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1413607616890
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607618687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413607624562
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607632875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607645171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607652375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607659765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1413607664125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607665359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607665359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607665421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607667437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1413607669953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607670562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607674937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607680656
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607701609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607704812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607705656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607709359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607710093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607713781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607718765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413607720156
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607720703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607725031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607730468
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413607731281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607731828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607733562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607735359
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1413607748406
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413607754171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607756656
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1413607789250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607799234
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607799765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413607800687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1413607810734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413607815859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607816343
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607825359
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607842062
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607852031
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1413607864734
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1413607864734
started,bundle,org.eclipse.mylyn.java.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.ui",1413607864734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413607865015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607868390
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1413607870531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607871062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607874437
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413607874453
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413607888687
error,log,,,"Unhandled event loop exception",1413607907609
error,log,,,"Unhandled event loop exception",1413607909531
error,log,,,"Unhandled event loop exception",1413607913968
error,log,,,"Unhandled event loop exception",1413607914812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607920875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607922093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607927781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607928265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413607929312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607952921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607955468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607958859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607958859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607958968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607975921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413607977000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413608203875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413608206234
