what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413612936625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413612944328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413612951515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413612956156
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413612960546
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413612966187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413612974421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413612986640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413612989390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413612992828
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413613042125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613063906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613065828
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1413613087859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613217203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613217203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613217343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613219671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613236375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613238046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613253109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613254843
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613334921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613350921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613355593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413613375921
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413613376171
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413613376187
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413613377687
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413613542484
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1413613560921
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1413613560921
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1413613561109
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1413613561171
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1413613561171
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1413613561187
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1413613561203
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1413613561203
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1413613561218
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.300.v200901220600,"org.eclipse.jst.j2ee.webservice",1413613561234
