what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1413619475046
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1413619475062
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1413619475093
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1413619475125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619481625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1413619493281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619524203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1413619524218
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1413619526656
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1413619526671
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1413619527109
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1413619527187
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1413619527187
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1413619527250
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1413619527250
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1413619527250
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1413619527265
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.300.v200901220600,"org.eclipse.jst.j2ee.webservice",1413619527281
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1413619527484
started,bundle,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ui",1413619527515
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1413619527515
opened,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413619528140
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413619528171
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1413619528625
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1413619531046
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619540968
closed,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413619540984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619544453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619558312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1413619558328
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619558375
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619558406
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413619566265
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619566953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619573140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619598671
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1413619598687
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619598734
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619598750
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619603593
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619609750
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619627796
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619635734
closed,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619635734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619639781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619702750
opened,view,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.views.FormView",1413619711406
activated,view,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.views.FormView",1413619711593
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413619716546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619729375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619772828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619785031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619787500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619791421
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413619793500
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413619793765
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413619793984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619794281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413619794828
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413619795140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413619795343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619811781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619829718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619840765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619877828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619899843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619921546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619928656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619940921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619950328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619967953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619979546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413619989765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620005937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620005937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620006062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620008656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620010593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620010593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620010984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620013562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620017500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620038875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620046578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620058828
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413620077031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620095046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620104687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620200484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413620247890
